age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
23, Private,131699, Some-college,10, Never-married, Sales, Own-child, Black, Female,0,0,14, United-States
19, Private,311974, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, Mexico
57, Private,337001, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States
37, Private,184456, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States
57, Private,192325, HS-grad,9, Widowed, Other-service, Unmarried, White, Female,0,0,42, United-States
32, Private,256362, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States
34, Private,329170, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,6849,0,70, United-States
22, Private,282202, HS-grad,9, Never-married, Exec-managerial, Unmarried, White, Male,0,0,40, Mexico
29, Private,425830, Assoc-acdm,12, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States
31, Private,32406, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States
24, Private,369667, Some-college,10, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States
44, Private,103397, HS-grad,9, Divorced, Handlers-cleaners, Other-relative, White, Female,0,0,40, United-States
47, Private,202395, 7th-8th,4, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States
41, Self-emp-inc,56019, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,99999,0,50, India
26, Private,104257, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,50, United-States
48, Local-gov,116601, Masters,14, Divorced, Prof-specialty, Unmarried, Asian-Pac-Islander, Female,0,0,50, Nicaragua
44, Private,173682, HS-grad,9, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States
29, Private,125791, Assoc-acdm,12, Never-married, Exec-managerial, Other-relative, White, Female,0,0,38, United-States
36, Self-emp-not-inc,52870, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,4386,0,50, United-States
20, ?,369907, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,20, United-States
29, Private,276418, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, Black, Female,0,2051,32, United-States
23, Private,86939, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,50, United-States
18, Private,129053, 11th,7, Never-married, Other-service, Own-child, White, Male,0,0,28, United-States
31, Private,177596, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Puerto-Rico
45, Private,298950, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States
26, Private,104830, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Female,594,0,35, United-States
39, Self-emp-not-inc,199753, Bachelors,13, Married-civ-spouse, Other-service, Husband, White, Male,0,0,60, United-States
45, Federal-gov,109209, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,45, United-States
58, Private,98630, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States
59, Private,157831, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,16, United-States
37, Private,216129, HS-grad,9, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,45, United-States
18, Private,93985, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,30, United-States
27, Private,201017, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,80, United-States
54, Private,231004, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,37, United-States
51, Private,190762, 1st-4th,2, Widowed, Craft-repair, Not-in-family, White, Male,0,0,40, Mexico
37, Self-emp-not-inc,175120, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
57, Local-gov,212303, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States
23, Private,278390, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,68, United-States
67, State-gov,54269, 10th,6, Widowed, Other-service, Not-in-family, White, Female,0,0,12, United-States
22, Private,170583, 11th,7, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States
43, Self-emp-not-inc,207578, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,42, United-States
54, Private,103580, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States
39, Private,215981, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States
55, Self-emp-not-inc,202652, Assoc-voc,11, Married-civ-spouse, Sales, Wife, White, Female,0,0,30, United-States
21, State-gov,311311, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,12, United-States
46, ?,427055, Some-college,10, Divorced, ?, Not-in-family, White, Male,0,0,40, United-States
41, Private,192225, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States
28, Self-emp-not-inc,264961, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States
45, Private,135525, Masters,14, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States
32, Self-emp-not-inc,199366, 10th,6, Married-spouse-absent, Craft-repair, Own-child, White, Male,0,0,16, United-States
