age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
36.0,9.0,1.0,6.0,0.0,0.0,0.0,1.0,4.0,2.0,648.0,1.0,999.0,0.0,1.0,1.1,93.994,-36.4,4.8580000000000005,5191.0
31.0,0.0,2.0,6.0,0.0,0.0,0.0,1.0,5.0,4.0,34.0,29.0,999.0,0.0,1.0,1.4,94.465,-41.8,4.959,5228.1
25.0,7.0,2.0,3.0,0.0,0.0,0.0,1.0,5.0,2.0,297.0,3.0,999.0,0.0,1.0,1.4,94.465,-41.8,4.962,5228.1
32.0,2.0,1.0,6.0,0.0,0.0,1.0,0.0,10.0,2.0,49.0,2.0,999.0,1.0,0.0,-0.1,93.2,-42.0,4.12,5195.8
57.0,2.0,1.0,6.0,,,,0.0,6.0,0.0,268.0,9.0,999.0,0.0,1.0,1.4,93.918,-42.7,4.96,5228.1
29.0,7.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,473.0,2.0,999.0,1.0,0.0,-1.8,93.075,-47.1,1.405,5099.1
50.0,9.0,1.0,3.0,0.0,0.0,0.0,0.0,11.0,0.0,620.0,3.0,999.0,0.0,1.0,-3.0,92.713,-33.0,0.7170000000000001,5023.5
31.0,0.0,2.0,6.0,0.0,1.0,0.0,0.0,4.0,0.0,434.0,4.0,999.0,0.0,1.0,-1.8,92.893,-46.2,1.354,5099.1
49.0,1.0,1.0,1.0,,1.0,0.0,0.0,4.0,1.0,85.0,4.0,999.0,1.0,0.0,-1.8,92.893,-46.2,1.291,5099.1
52.0,9.0,1.0,5.0,0.0,1.0,0.0,0.0,10.0,4.0,64.0,1.0,999.0,1.0,0.0,-0.1,93.2,-42.0,4.021,5195.8
56.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,621.0,2.0,999.0,0.0,1.0,1.4,93.918,-42.7,4.96,5228.1
34.0,4.0,1.0,6.0,0.0,0.0,0.0,1.0,4.0,2.0,984.0,1.0,999.0,0.0,1.0,1.1,93.994,-36.4,4.856,5191.0
33.0,7.0,1.0,3.0,,1.0,0.0,1.0,5.0,1.0,1345.0,3.0,999.0,0.0,1.0,1.4,94.465,-41.8,4.961,5228.1
38.0,9.0,1.0,5.0,,0.0,0.0,0.0,7.0,4.0,155.0,2.0,999.0,0.0,1.0,1.4,93.444,-36.1,4.966,5228.1
32.0,0.0,2.0,6.0,0.0,1.0,0.0,0.0,6.0,2.0,97.0,3.0,999.0,0.0,1.0,-2.9,92.469,-33.6,1.029,5076.2
56.0,5.0,1.0,6.0,0.0,0.0,0.0,0.0,7.0,1.0,634.0,3.0,999.0,1.0,0.0,-1.7,94.027,-38.3,0.8859999999999999,4991.6
31.0,9.0,2.0,,0.0,0.0,1.0,0.0,4.0,4.0,7.0,6.0,999.0,0.0,1.0,-1.8,92.893,-46.2,1.25,5099.1
26.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,16.0,3.0,999.0,0.0,1.0,-1.8,92.893,-46.2,1.291,5099.1
78.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,137.0,2.0,999.0,0.0,1.0,-1.8,93.075,-47.1,1.405,5099.1
24.0,8.0,2.0,,0.0,1.0,0.0,0.0,8.0,2.0,367.0,1.0,999.0,2.0,0.0,-1.1,94.199,-37.5,0.8859999999999999,4963.6
40.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,5.0,0.0,128.0,3.0,999.0,0.0,1.0,1.4,94.465,-41.8,4.865,5228.1
49.0,9.0,0.0,,0.0,0.0,0.0,1.0,5.0,2.0,41.0,1.0,999.0,0.0,1.0,1.4,94.465,-41.8,4.959,5228.1
58.0,0.0,2.0,6.0,0.0,1.0,0.0,0.0,4.0,1.0,851.0,1.0,999.0,0.0,1.0,-1.8,92.893,-46.2,1.344,5099.1
44.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,9.0,4.0,159.0,1.0,999.0,0.0,1.0,-0.1,93.798,-40.4,5.045,5195.8
51.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,601.0,3.0,999.0,0.0,1.0,-1.8,92.893,-46.2,1.354,5099.1
30.0,9.0,1.0,2.0,0.0,1.0,0.0,0.0,6.0,2.0,161.0,1.0,999.0,0.0,1.0,1.4,93.918,-42.7,4.963,5228.1
40.0,0.0,1.0,6.0,0.0,1.0,0.0,0.0,7.0,0.0,366.0,3.0,999.0,0.0,1.0,1.4,93.444,-36.1,4.965,5228.1
29.0,9.0,2.0,,0.0,1.0,1.0,0.0,6.0,0.0,326.0,3.0,999.0,0.0,1.0,-2.9,92.469,-33.6,0.996,5076.2
56.0,1.0,1.0,0.0,,0.0,0.0,1.0,5.0,4.0,1276.0,2.0,999.0,0.0,1.0,1.4,94.465,-41.8,4.967,5228.1
34.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,263.0,1.0,999.0,0.0,1.0,1.1,93.994,-36.4,4.8580000000000005,5191.0
32.0,9.0,2.0,5.0,0.0,0.0,0.0,0.0,7.0,4.0,87.0,1.0,999.0,0.0,1.0,-2.9,92.201,-31.4,0.8809999999999999,5076.2
25.0,7.0,2.0,,0.0,1.0,0.0,0.0,5.0,1.0,154.0,2.0,3.0,3.0,2.0,-1.7,94.055,-39.8,0.7020000000000001,4991.6
44.0,9.0,0.0,5.0,0.0,1.0,0.0,0.0,7.0,2.0,1552.0,3.0,999.0,0.0,1.0,1.4,93.444,-36.1,4.967,5228.1
27.0,8.0,2.0,,,1.0,0.0,0.0,3.0,3.0,458.0,1.0,999.0,0.0,1.0,-1.8,93.075,-47.1,1.365,5099.1
29.0,0.0,1.0,6.0,0.0,1.0,0.0,0.0,6.0,1.0,88.0,1.0,999.0,2.0,0.0,-1.7,94.215,-40.3,0.835,4991.6
46.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,243.0,1.0,999.0,0.0,1.0,-1.8,93.075,-47.1,1.365,5099.1
49.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,8.0,1.0,495.0,1.0,3.0,1.0,2.0,-3.4,92.379,-29.8,0.7879999999999999,5017.5
57.0,0.0,1.0,6.0,0.0,,,0.0,9.0,2.0,229.0,2.0,3.0,2.0,2.0,-1.1,94.601,-49.5,0.959,4963.6
24.0,7.0,2.0,3.0,0.0,0.0,0.0,0.0,5.0,2.0,150.0,1.0,999.0,0.0,1.0,-2.9,92.963,-40.8,1.26,5076.2
24.0,9.0,2.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,390.0,1.0,999.0,0.0,1.0,-1.8,93.075,-47.1,1.405,5099.1
47.0,0.0,1.0,6.0,0.0,1.0,0.0,0.0,10.0,2.0,93.0,1.0,999.0,1.0,0.0,-0.1,93.2,-42.0,4.12,5195.8
39.0,0.0,1.0,6.0,0.0,1.0,0.0,1.0,4.0,3.0,543.0,1.0,999.0,0.0,1.0,1.1,93.994,-36.4,4.86,5191.0
34.0,9.0,1.0,6.0,0.0,0.0,0.0,0.0,3.0,4.0,772.0,1.0,999.0,0.0,1.0,-1.8,93.075,-47.1,1.405,5099.1
32.0,0.0,1.0,6.0,,1.0,0.0,0.0,7.0,4.0,138.0,1.0,999.0,0.0,1.0,1.4,93.444,-36.1,4.964,5228.1
25.0,0.0,2.0,6.0,0.0,1.0,1.0,0.0,4.0,1.0,82.0,1.0,999.0,0.0,1.0,-1.8,92.893,-46.2,1.266,5099.1
36.0,9.0,1.0,5.0,0.0,1.0,0.0,1.0,10.0,2.0,159.0,7.0,999.0,0.0,1.0,-0.1,93.2,-42.0,4.12,5195.8
24.0,9.0,2.0,5.0,0.0,0.0,0.0,1.0,4.0,1.0,240.0,4.0,999.0,0.0,1.0,-1.8,92.893,-46.2,1.266,5099.1
30.0,10.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,417.0,1.0,3.0,1.0,2.0,-1.8,92.893,-46.2,1.354,5099.1
25.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,4.0,3.0,95.0,2.0,999.0,0.0,1.0,-1.8,92.893,-46.2,1.266,5099.1
29.0,9.0,2.0,3.0,0.0,0.0,1.0,0.0,4.0,1.0,185.0,1.0,999.0,0.0,1.0,-1.8,92.893,-46.2,1.266,5099.1
28.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,4.0,3.0,278.0,1.0,999.0,0.0,1.0,-1.8,92.893,-46.2,1.327,5099.1
55.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,1.0,245.0,1.0,999.0,0.0,1.0,-1.7,94.027,-38.3,0.904,4991.6
33.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,9.0,1.0,37.0,1.0,999.0,0.0,1.0,-0.1,93.798,-40.4,4.968,5195.8
53.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,5.0,3.0,578.0,2.0,999.0,0.0,1.0,-2.9,92.963,-40.8,1.26,5076.2
58.0,4.0,1.0,6.0,0.0,1.0,1.0,0.0,4.0,4.0,256.0,1.0,999.0,0.0,1.0,-1.8,92.893,-46.2,1.25,5099.1
29.0,0.0,2.0,2.0,,0.0,0.0,1.0,5.0,0.0,1298.0,2.0,999.0,0.0,1.0,1.4,94.465,-41.8,4.96,5228.1
36.0,9.0,1.0,6.0,0.0,1.0,0.0,1.0,4.0,2.0,197.0,2.0,999.0,0.0,1.0,1.1,93.994,-36.4,4.8580000000000005,5191.0
52.0,7.0,1.0,3.0,0.0,0.0,0.0,1.0,4.0,1.0,145.0,5.0,999.0,0.0,1.0,1.1,93.994,-36.4,4.857,5191.0
37.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,4.0,1.0,172.0,7.0,999.0,0.0,1.0,1.1,93.994,-36.4,4.857,5191.0
35.0,6.0,2.0,6.0,0.0,1.0,0.0,0.0,6.0,2.0,2122.0,1.0,999.0,0.0,1.0,1.4,93.918,-42.7,4.962,5228.1
56.0,5.0,1.0,6.0,0.0,0.0,0.0,0.0,4.0,2.0,108.0,2.0,999.0,0.0,1.0,-1.8,92.893,-46.2,1.27,5099.1
