age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
32.0,6.0,2.0,6.0,0.0,0.0,0.0,0.0,6.0,3.0,276.0,2.0,999.0,0.0,1.0,-2.9,92.469,-33.6,1.072,5076.2
31.0,7.0,2.0,3.0,0.0,0.0,1.0,1.0,5.0,4.0,99.0,5.0,999.0,0.0,1.0,1.4,94.465,-41.8,4.959,5228.1
34.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,4.0,2.0,653.0,1.0,11.0,1.0,2.0,-1.8,92.893,-46.2,1.334,5099.1
30.0,4.0,2.0,6.0,0.0,1.0,0.0,1.0,4.0,1.0,211.0,3.0,999.0,0.0,1.0,1.1,93.994,-36.4,4.856,5191.0
27.0,9.0,2.0,5.0,0.0,0.0,0.0,0.0,5.0,1.0,130.0,2.0,3.0,3.0,2.0,-1.7,94.055,-39.8,0.737,4991.6
36.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,6.0,3.0,18.0,12.0,999.0,0.0,1.0,1.4,93.918,-42.7,4.968,5228.1
39.0,9.0,1.0,5.0,0.0,0.0,0.0,1.0,5.0,1.0,83.0,2.0,999.0,0.0,1.0,1.4,94.465,-41.8,4.961,5228.1
34.0,9.0,1.0,6.0,0.0,0.0,0.0,1.0,4.0,1.0,200.0,1.0,999.0,0.0,1.0,1.1,93.994,-36.4,4.856,5191.0
47.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,7.0,0.0,157.0,2.0,999.0,0.0,1.0,1.4,93.444,-36.1,4.965,5228.1
72.0,,1.0,,0.0,1.0,1.0,0.0,7.0,4.0,207.0,8.0,999.0,1.0,0.0,-2.9,92.201,-31.4,0.825,5076.2
63.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,479.0,1.0,999.0,0.0,1.0,-2.9,92.201,-31.4,0.838,5076.2
48.0,9.0,1.0,3.0,,1.0,1.0,0.0,7.0,1.0,126.0,1.0,999.0,0.0,1.0,1.4,93.444,-36.1,4.963,5228.1
36.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,10.0,1.0,94.0,1.0,999.0,0.0,1.0,-0.1,93.2,-42.0,4.1530000000000005,5195.8
36.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,409.0,1.0,999.0,0.0,1.0,-1.8,93.369,-34.8,0.652,5008.7
35.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,3.0,2.0,1190.0,1.0,999.0,0.0,1.0,-1.8,93.075,-47.1,1.445,5099.1
31.0,0.0,2.0,6.0,0.0,1.0,1.0,0.0,3.0,0.0,885.0,5.0,999.0,1.0,0.0,-1.8,93.075,-47.1,1.405,5099.1
25.0,8.0,2.0,3.0,0.0,,,1.0,4.0,3.0,360.0,5.0,999.0,0.0,1.0,1.1,93.994,-36.4,4.86,5191.0
54.0,1.0,2.0,,0.0,1.0,0.0,0.0,6.0,0.0,213.0,3.0,999.0,0.0,1.0,1.4,93.918,-42.7,4.962,5228.1
54.0,4.0,0.0,6.0,0.0,0.0,0.0,1.0,4.0,2.0,10.0,1.0,999.0,0.0,1.0,-1.8,92.893,-46.2,1.334,5099.1
45.0,10.0,1.0,3.0,0.0,0.0,0.0,0.0,8.0,2.0,1081.0,2.0,999.0,0.0,1.0,-1.1,94.199,-37.5,0.88,4963.6
25.0,6.0,2.0,6.0,0.0,0.0,0.0,1.0,5.0,0.0,426.0,3.0,999.0,0.0,1.0,1.4,94.465,-41.8,4.865,5228.1
31.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,7.0,1.0,164.0,1.0,999.0,0.0,1.0,-1.7,94.027,-38.3,0.904,4991.6
